global_id,global_uuid,genero,confianza_genero,votos_genero
1,ab70b26d-b085-508f-b584-2002f01a7e0c,Hombre,0.9173497,45
2,f585c3ec-1999-525f-bdc3-010c92b6bf01,Hombre,0.7501558,74
3,a0d03837-7a83-573b-8160-afc757fe1902,Sin determinar,,0
4,26097316-0085-5921-aab9-8fc1c77e6b4a,Sin determinar,,21
5,a7eeaf12-4dcf-52c6-9bd8-3d1f1dba9809,Sin determinar,,19
6,96da3f62-25cd-5826-9130-4e5ea7f72d1c,Hombre,0.98789406,77
7,a4b4bec2-f3a7-5e37-8d8f-f9c8eb040592,Mujer,0.8090437,72
8,dec621f3-3af2-5b3a-b9df-7e8942a1c557,Mujer,0.9649035,51
9,ec5c950b-4e17-5959-8ee1-8162345266c5,Hombre,0.97954786,82
10,7e2dba83-80f1-5e04-8127-c8c3c5a2f0ad,Sin determinar,,0
11,a7f56907-728f-5843-95df-66edf353f8b8,Mujer,0.73488796,26
12,4ed23631-d122-5fa1-91b7-b836eb4c87b0,Sin determinar,,0
13,c64e315a-6526-591b-9741-8877b189017a,Hombre,0.9034676,10
14,b154585f-390b-5a31-9a90-e23de94cc11e,Sin determinar,,0
15,7ad8fdb1-0eb0-5505-9c23-4977aaaf5bc5,Hombre,1.0,10
16,230ff2b1-3904-5472-bf24-374494fa88d0,Sin determinar,,3
